DATE,W5000
12/13/99,42.82
12/14/99,42.3
12/15/99,42.51
12/16/99,42.75
12/17/99,42.83
12/20/99,42.83
12/21/99,43.36
12/22/99,43.56
12/23/99,44.14
12/24/99,.
12/27/99,44.05
12/28/99,44.14
12/29/99,44.41
12/30/99,44.42
12/31/99,44.67
1/3/00,44.34
1/4/00,42.59
1/5/00,42.62
1/6/00,42.49
1/7/00,43.66
1/10/00,44.39
1/11/00,43.71
1/12/00,43.44
1/13/00,44.1
1/14/00,44.63
1/17/00,.
1/18/00,44.51
1/19/00,44.67
1/20/00,44.56
1/21/00,44.63
1/24/00,43.46
1/25/00,43.7
1/26/00,43.52
1/27/00,43.34
1/28/00,42.12
1/31/00,42.81
2/1/00,43.34
2/2/00,43.42
2/3/00,44.04
2/4/00,44.03
2/7/00,44.16
2/8/00,44.71
2/9/00,43.88
2/10/00,44.13
2/11/00,43.34
2/14/00,43.45
2/15/00,43.72
2/16/00,43.47
2/17/00,43.67
2/18/00,42.51
2/21/00,.
2/22/00,42.59
2/23/00,43.06
2/24/00,43.03
2/25/00,42.57
2/28/00,42.96
2/29/00,43.77
3/1/00,44.37
3/2/00,44.37
3/3/00,45.36
3/6/00,44.97
3/7/00,44.02
3/8/00,44.3
3/9/00,45.4
3/10/00,45.22
3/13/00,44.61
3/14/00,43.64
3/15/00,44.12
3/16/00,46.06
3/17/00,46.29
3/20/00,45.57
3/21/00,46.53
3/22/00,47.09
3/23/00,47.78
3/24/00,47.84
3/27/00,47.69
3/28/00,47.05
3/29/00,46.66
3/30/00,45.85
3/31/00,46.37
4/3/00,45.81
4/4/00,45.27
4/5/00,45.25
4/6/00,45.9
4/7/00,46.53
4/10/00,45.69
4/11/00,45.34
4/12/00,44.09
4/13/00,43.27
4/14/00,40.48
4/17/00,41.7
4/18/00,43.25
4/19/00,42.91
4/20/00,43
4/21/00,.
4/24/00,42.6
4/25/00,44.16
4/26/00,43.65
4/27/00,43.97
4/28/00,43.96
5/1/00,44.56
5/2/00,43.69
5/3/00,42.79
5/4/00,42.8
5/5/00,43.46
5/8/00,43.07
5/9/00,42.6
5/10/00,41.53
5/11/00,42.36
5/12/00,42.71
5/15/00,43.65
5/16/00,44.18
5/17/00,43.59
5/18/00,43.14
5/19/00,42.17
5/22/00,41.89
5/23/00,40.97
5/24/00,41.6
5/25/00,41.09
5/26/00,40.99
5/29/00,.
5/30/00,42.5
5/31/00,42.42
6/1/00,43.45
6/2/00,44.64
6/5/00,44.46
6/6/00,44.35
6/7/00,44.61
6/8/00,44.35
6/9/00,44.35
6/12/00,43.85
6/13/00,44.5
6/14/00,44.44
6/15/00,44.66
6/16/00,44.33
6/19/00,45.05
6/20/00,44.93
6/21/00,45.07
6/22/00,44.24
6/23/00,43.82
6/26/00,44.23
6/27/00,44.02
6/28/00,44.33
6/29/00,44.02
6/30/00,44.29
7/3/00,44.73
7/4/00,.
7/5/00,44.02
7/6/00,44.4
7/7/00,45.06
7/10/00,44.99
7/11/00,45.07
7/12/00,45.62
7/13/00,45.84
7/14/00,46.27
7/17/00,46.33
7/18/00,45.72
7/19/00,45.22
7/20/00,45.81
7/21/00,45.21
7/24/00,44.59
7/25/00,44.83
7/26/00,44.26
7/27/00,43.92
7/28/00,42.95
7/31/00,43.39
8/1/00,43.5
8/2/00,43.51
8/3/00,43.96
8/4/00,44.34
8/7/00,44.85
8/8/00,44.91
8/9/00,44.65
8/10/00,44.24
8/11/00,44.63
8/14/00,45.19
8/15/00,44.98
8/16/00,44.9
8/17/00,45.41
8/18/00,45.3
8/21/00,45.51
8/22/00,45.51
8/23/00,45.77
8/24/00,45.93
8/25/00,45.91
8/28/00,46.13
8/29/00,46.09
8/30/00,46.03
8/31/00,46.54
9/1/00,46.7
9/4/00,.
9/5/00,46.28
9/6/00,45.78
9/7/00,46.14
9/8/00,45.8
9/11/00,45.62
9/12/00,45.43
9/13/00,45.55
9/14/00,45.56
